title,job_description
software developer,zenteq title software developer intended audience engineers scientists location yerevan armenia job description position assumes participation full development deployment cycle software products solutions developed company collaboration renderx inc job responsibilities expect successful candidate able design develop software products create programs heterogeneous environments ms windows unix communicating means network protocols author maintain internal enduser documentation required qualifications applicants exposure previous experience programming languages c perl ruby python java c data processing technologies xml relational databases particularly interested candidates experience oracle dbms application programming j2ee architecture applications development net frameworkbased technologies remuneration salary competitive application procedures send cover letter curriculum vitae tohumanresources plain text pdf please phone calls faxed inquiries please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 30 july 2004 application deadline 15 september 2004 company zenteq software company affiliated renderx inc place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,project harmony armenia title web developer start date time september 2004 location yerevan armenia job description project harmony innovate nonprofit organization builds strong communities fostering civic leadership harnessing internet technology facilitating crosscultural experiential learning currently accepting applications positions within armenia school connectivity programs high profile secondary school technology education programs us department state bureau educational cultural affairs zang armenian legal socialization project unique project brings together educators law enforcement officials create lessons legal socialization piloted secondary schools throughout armenia job responsibilities web sites creation programming organization maintenance phpmysql data base creation programming maintenance schools web sites administration consultations interactive online space creation administration maintenance web training consultation required qualifications must bachelors degree higher must experience xml xsl html dhtml photoshop corelflash javascript css sql phpmy sql perl macromedia dreamweaver must experience apache 13 higher must experience unixlinux system administration ability troubleshoot problems research service enhancements must excellent communications problem solving trouble shooting must self starter takes initiative highly motivated quick learn new technologies ability read technical documentation english ability write administrative reports english application procedures applications accepted rolling bases please email resume cover letter mourad mouradian pharmenia technical manager mourad august 8 2004 subject line message clearly write application web developer additional information please call project harmony armenian office 01 2606868788 22744373 please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 15 august 2004 armenia connectivity 2000 successfully implemented two years technology education programming armenia set expand activities course next two years armenia school connectivity program ascp also program us department state bureau educational cultural affairs twoyear program expansion provide resources internet access training network 350 participating schools across 11 regions armenia ascp provide students educators community members opportunities access share information engage online collaborative projects develop technical skills marketable digital world program increase schoolcommunity interaction usarmenian partnerships school community level civic engagement local national international level place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
project manager,international society fair elections democracy isfed title project manager term fulltime location tbilisi georgia job description international society fair elections democracy isfed announces vacancy fulltime position project manager job responsibilities lead coordinate organizations relations mass media ngos state institutions general public organize meetings briefings press conferences draft press releases edit prepare materials organizations website create promotion educational materials train organization members pr issues responsible executive director pr relations required qualifications university degree relevant fields journalism political sciences public relations fluency spoken written georgian english russian 3 years working experience field strong presentation communication interpersonal skills strong analytical skills ability develop innovative approaches ability provide trainings pr issues knowledge ms office applications political awareness good connections mass media advantage application procedures interested candidates send cvs toinfo email fax 995 32 989824 please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 11 september 2004 6 pm place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,sada systems title web developer term fulltime location yerevan armenia job description sada systems armenia looking specialists web developer work dynamic high profile project deliver latest microsoft technology aspnet adonet c sql server 2000 required qualifications proven knowledge minimum 1 year experience net c application procedures send resume techjobs please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 20 september 2004 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,abg title java developer duration longterm position probationary period location yerevan armenia job description creating developing software products network job responsibilities excellent knowledge object oriented programming design excellent knowledge java jsp servlet swing jdbc rmi 4 years programming experience good knowledge html javascript php xml relational databases oracle sql mysql experience preferable required qualifications relevant university degree yerevan state university state engineering university armenia good skills english armenian languages good knowledge computers excellent communication skills team worker previous experience necessary application procedures please send cv resume email address lustianna please indicate subject java programmer position candidates asked pass interview please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 07 october 2004 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,xalt llc title web developer location yerevan armenia job description xalt llc seeking motivated experienced web developer develop new support existing websites created company evaluate solutions create detailed system requirement specifications well system design functional specifications job responsibilities scripting web programming html coding designing website functionality writing high quality code based implementation specification effective programming unixlinux environment participating web applications design development updating existing websites required qualifications strong knowledge php mysql html javascript xmlxsl knowledge data structures algorithms database concepts plus perl programming language knowledge desirable minimum 2 years experience relevant field good knowledge english team oriented organized initiative willing learn new skills positive attitude application procedures interested web developers position please email cover letter cv portfolio toinfo please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 18 september 2004 company xalt llc widely known xternet one leading isps armenia providing wide spectrum services including dialup fast dsl internet access webhosting domain registration consultancy place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,xalt llc title web developer location yerevan armenia job description xalt llc seeking motivated experienced web developer develop new support existing websites created company evaluate solutions create detailed system requirement specifications well system design functional specifications job responsibilities successful candidate required strong knowledge php mysql html javascript xmlxsl knowledge data structures algorithms database concepts plus perl programming language knowledge desirable scripting web programming html coding designing website functionality writing high quality code based implementation specification effective programming unixlinux environment participating web applications design development updating existing websites required qualifications minimum 2 years experience relevant field good knowledge english team oriented organized initiative willing learn new skills positive attitude application procedures interested web developers position please email cover letter cv portfolio toinfo please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks application deadline 08 october 2004 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,bars media title web developer term fulltime duration constant contract location yerevan armenia job description creating innovative web sites using html dhtml javascript flash action script php mysql diverse client pool developing flashbased presentation packages required qualifications expert knowledge php database mysql html dhtml java script knowledge macromedia flash including active script handson experience webdesign tools dreamweaver home site experience photoshop imageready advantage must selfdirected track record meeting project deadlines least 2 years experience web programming application procedures interested applying web developer position please email cv sample work tomariam please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 04 october 2004 application deadline 17 october 2004 company documentary film design studio place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,xalt llc title web developer location yerevan armenia job description xalt llc seeking motivated experienced web developer develop new support existing websites created company evaluate solutions create detailed system requirement specifications well system design functional specifications job responsibilities successful candidate required strong knowledge php mysql html javascript xmlxsl knowledge data structures algorithms database concepts plus perl programming language knowledge desirable scripting web programming html coding designing website functionality writing high quality code based implementation specification effective programming unixlinux environment participating web applications design development updating existing websites required qualifications minimum 2 years experience relevant field good knowledge english team oriented organized initiative willing learn new skills positive attitude application procedures interested web developers position please email cover letter cv portfolio toinfo please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 25 october 2004 application deadline 05 november 2004 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,vested development inc title java developer announcement code vdi04 term full time intended audience professionals start date time asap duration permanent location yerevan armenia job description leading american software development company actively looking java developers complex longterm projects position entails working sun ibm products portal solutions latest java technologies documentum products world leader edms solutions projects deal large wellknown customers job responsibilities software development according requirements complete work according deadlines follow team rules working projects required qualifications professional skills advanced knowledge oop professional work experience projects javadeveloper j2ee jsp servlets jdbc ejb jms struts year professional work experience development multilayered clientserver applications client server web application components professional work experience oracle ms sql databases experience ibm websphere weblogic jboss jrun ability develop quality code apply proper language constructions use quality algorithms willingness increase competencies professionalism ability identify problems fly separate joint moments basic knowledge english language desired qualifications ability responsibly complete assigned tasks according deadlines highly productive ability work pressure adapt dynamic business environment make decisions take responsibility energetic capable team leader ability appropriately make decisions issues different complexity areas responsibility ability express thoughts clearly remuneration salary 600 application procedures please send cvs jobs refer announcement code subject line please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 25 november 2004 application deadline 25 december 2004 company vested development inc vdi leading international provider offshore software development services operating successfully since founding 1997 headquartered burlington vdi also office armenia vdi perfect example mutually beneficial international cooperation formula success combines american management skills proven talent renowned technical scientific education armenia engineers additional notes vdis global software development teams impressive track record developing software applications meet critical needs fortune 500 companies highly skilled experienced team 300 employees vdi successfully completed dozens large projects various fields information technology including dms kms workflow b2b crm erp scm webbased applications etc 90 vdi projects completed time budget compared industry average 16 products successfully withstood test highly competitive us marketplace demanding international user groups vdi distinguishes oftendemonstrated ability provide customers highend technology solutions highest quality high customer retention rate 95 proves approach dedication customer service place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
systems administrator,bearingpoint barents group llc commercial law economic regulation program title systems administrator location yerevan armenia job description barents group looking qalified systems administrator work mentioned projects systems support including installation maintenance systems counterpart locations required qualifications bachelors degree computer science engineering comparable technical field advanced knowledge networking software including novell windows 2000 advanced server windows xp experience installing maintaining troubleshooting lans thorough knowledge tcpip routing proxyfirewall technology experience installing configuring software including operation database systems superior serverpc hardware knowledge skills windows 2000 xp installation support troubleshooting skills experience installing configuring modems routers excellent communication training skills attention details ensure smooth operation systems fluency english language application procedures interested candidates welcome submit resumes cover letters office managerclerp atclerp fax 541815 phone calls please please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 29 november 2004 application deadline 03 december 2004 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
project manager,british council title project manager term indefinite fulltime contract open eligibility criteria qualified candidates start date time start date agreed probably march 2005 location yerevan armenia job description achieve objectives british councils se europe regional plan armenia country plan planning implementation evaluation projects mainly exclusively education governance job responsibilities exciting opportunity someone understand mission british council plan implement evaluate projects fields education governance accordingly work demanding financial targets whilst ensuring maximum impact build effective working relationships priority groups education governance armenia well uk contacts ngos armenian diaspora uk work part british council armenia team crosssector projects carry administration scholarship schemes wholeoffice activity evaluation system highest standards required qualifications good knowledge andor experience education governance issues armenia uk good project management skills good teamworking interpersonal skills excellent written spoken english would like hear remuneration salary region 400 000 amd per month confirmed application procedures first visit wwwbritishcouncilam wwwbritishcouncilorg find british council generally armenia specifically education governance download job description send application cv email info giving evidence think could fulfill duties job description mark application project manager include names contact details three confidential referees interviews week beginning 17 january 2005 shortlisted applicants invited interview please send open letters recommendation phone calls please please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 13 december 2004 application deadline 05 january 2005 5 pm company british council british governments official organization cultural educational relations united kingdom countries connects people worldwide learning opportunities creative ideas uk builds lasting relationships uk countries striving equal opportunities employer place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,vested development inc title java developer announcement code vdi04 term full time intended audience professionals start date time asap duration permanent location yerevan armenia job description leading american software development company actively looking java developers complex longterm projects position entails working sun ibm products portal solutions latest java technologies documentum products world leader edms solutions projects deal large wellknown customers job responsibilities software development according requirements complete work according deadlines follow team rules working projects required qualifications professional skills advanced knowledge oop professional work experience projects javadeveloper j2ee jsp servlets jdbc ejb jms struts year professional work experience development multilayered clientserver applications client server web application components professional work experience oracle ms sql databases experience ibm websphere weblogic jboss jrun ability develop quality code apply proper language constructions use quality algorithms willingness increase competencies professionalism ability identify problems fly separate joint moments basic knowledge english language desired qualifications ability responsibly complete assigned tasks according deadlines highly productive ability work pressure adapt dynamic business environment make decisions take responsibility energetic capable team leader ability appropriately make decisions issues different complexity areas responsibility ability express thoughts clearly remuneration salary 600 application procedures please send cvs jobs refer announcement code subject line please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 10 january 2005 application deadline 10 february 2005 company vested development inc vdi leading international provider offshore software development services operating successfully since founding 1997 headquartered burlington vdi also office armenia vdi perfect example mutually beneficial international cooperation formula success combines american management skills proven talent renowned technical scientific education armenia engineers additional notes vdis global software development teams impressive track record developing software applications meet critical needs fortune 500 companies highly skilled experienced team 300 employees vdi successfully completed dozens large projects various fields information technology including dms kms workflow b2b crm erp scm webbased applications etc 90 vdi projects completed time budget compared industry average 16 products successfully withstood test highly competitive us marketplace demanding international user groups vdi distinguishes oftendemonstrated ability provide customers highend technology solutions highest quality high customer retention rate 95 proves approach dedication customer service place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
software developer,cqgi title software developer start date time immediately location yerevan armenia job description na job responsibilities gather produce requirements designs write test code required product accurately plan software development activities follow established processes share knowledge mentor peers listen heas team members positions provide fair evaluation differing opinions work productively part software development team communicate effectively management team members keep commitments command current technology actively participate discussions regarding technical issues required qualifications bachelors degree computer science related discipline 4 years object oriented ms windows c development include experience c enterpriseclass system architecture design equivalent combination education skills experience demonstrated record designing implementing high quality software products delivered market extensive knowledge windows platform technologies including win32 api com threading sockets strong problemsolving skills ability successful member team basic english language skills ability develop skills desire experience distributed application architectures unix platforms interaction offshore development teams desire knowledge application software development methodology prefer uml application procedures interested candidates send resumes toyerjob please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 16 march 2005 application deadline 15 april 2005 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
systems administrator,bearingpoint title systems administrator location yerevan armenia job description bearingpoint inc barents group llc looking motivated experienced individual join usaids commercial law economic reform program clerp systems administrator primary role systems administrator support projects systems including installation maintenance systems counterpart locations job responsibilities successful candidate opportunity work clerp counterparts assist database creation management opportunities exist designing training programs overseeing assisting counterpart web site design content management required qualifications bachelors degree computer science engineering comparable technical field advanced knowledge networking software including novell windows 2000 andor windows 2003 advanced server windows xp experience installing maintaining troubleshooting lans thorough knowledge tcpip routing proxyfirewall technology experience installing configuring software including operating database systems superior serverpc hardware knowledge skills windows 2000 windows xp installation support troubleshooting skills experience installing configuring modems routers excellent communication training skills attention detail ensure smooth operation systems fluent english language remuneration salary usaid regulations salary offered successful candidate position based upon salary history past three years application procedures interested please send cover letter resume office managerclerp clerp fax 541815 resumes accepted deadline phone calls please please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 21 march 2005 application deadline 25 march 2005 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
web developer,mpossible title web developer location yerevan armenia job description na required qualifications candidates software development experience web technologies servlets jsp microsoft technologies asp comcom iisc asp net server technologies microsoft sql server webbased technologies web services xml html dhtml javascript strong objectoriented design skills strong analysis problem solving skills experience full product development cycle ability anticipate prevent problems ability meet schedule communications skills ability work well individually part team programmers 35 years experience programming jsp aspnet xml application procedures please send cv resume please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 21 march 2005 application deadline 30 april 2005 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
network administrator,xalt llc title network administrator location yerevan armenia job description xalt llc seeking motivated nighttime network administrator network administrator responsible overall network systems monitoring diagnosis answering phone calls providing technical support companys customers night hours work group three network administrators shifts defined management job responsibilities monitoring diagnosing overall network working systems handle customers phone calls answer customers polite gentle manner handling technical enquiries customers periodically report management network system state perform miscellaneous jobrelated duties assigned required qualifications strong knowledge local wide area networks routing networking principles knowledge cisco ios linux microsoft family servers administration desirable least two years experience relevant field good knowledge english language team oriented organized initiative willing learn new skills application procedures interested please send cover letter cv info please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 22 march 2005 application deadline 03 april 2005 place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
java developer,vested development inc title java developer announcement code vdi04 term full time intended audience professionals start date time asap duration permanent location yerevan armenia job description leading american software development company actively looking java developers complex longterm projects position entails working sun ibm products portal solutions latest java technologies documentum products world leader edms solutions projects deal large wellknown customers job responsibilities software development according requirements complete work according deadlines follow team rules working projects required qualifications professional skills advanced knowledge oop professional work experience projects javadeveloper j2ee jsp servlets jdbc ejb jms struts year professional work experience development multilayered clientserver applications client server web application components professional work experience oracle ms sql databases experience ibm websphere weblogic jboss jrun ability develop quality code apply proper language constructions use quality algorithms willingness increase competencies professionalism ability identify problems fly separate joint moments basic knowledge english language desired qualifications ability responsibly complete assigned tasks according deadlines highly productive ability work pressure adapt dynamic business environment make decisions take responsibility energetic capable team leader ability appropriately make decisions issues different complexity areas responsibility ability express thoughts clearly remuneration salary 600 application procedures please send cvs jobs refer announcement code subject line please clearly mention application letter learned job opportunity career center mention url website wwwcareercenteram thanks opening date 31 march 2005 application deadline 30 april 2005 company vested development inc vdi international provider offshore software development services operating successfully since founding 1997 headquartered burlington vdi also office armenia vdi example mutually beneficial international cooperation formula success combines american management skills proven talent renowned technical scientific education armenia engineers additional notes vdis global software development teams impressive track record developing software applications meet critical needs fortune 500 companies team 300 employees vdi successfully completed dozens large projects various fields information technology including dms kms workflow b2b crm erp scm webbased applications etc 90 vdi projects completed time budget compared industry average 16 products successfully withstood test us marketplace demanding international user groups vdi distinguishes oftendemonstrated ability provide customers highend technology solutions highest quality high customer retention rate 95 proves approach dedication customer service place free posting job careerrelated opportunities available organization go wwwcareercenteram website follow post announcement link
